test,channel,sample_rate_hz,n_samples,n_segments,frequency_hz,half_power_bandwidth_hz,zeta_half_power,zeta_bootstrap_mean,zeta_bootstrap_sd,zeta_bootstrap_q025,zeta_bootstrap_q975,bootstrap_valid_reps
test2,4,200.00000000000426,7104,5,10.74218750000023,0.2649774663937272,0.012333496617598676,0.014341975949280567,0.0039684500799510285,0.010739956456439957,0.02145467337442092,200
test2,4,200.00000000000426,7104,5,11.523437500000245,0.18370417382141824,0.00797089296581052,0.008632492707580616,0.0025211633873442893,0.006398030725020866,0.017631436308614783,200
test2,4,200.00000000000426,7104,5,12.69531250000027,0.32104205195749635,0.012644117738633434,0.015036871695961107,0.004624443326441421,0.007195655883998007,0.02623188708469867,200
test2,4,200.00000000000426,7104,5,13.18359375000028,1.2281207922994568,0.046577618196837665,0.041243261834583336,0.006558387363278576,0.030921322612146605,0.04919138593302452,200
test2,4,200.00000000000426,7104,5,15.03906250000032,0.45143154935298746,0.015008633329137966,0.013584406191518423,0.007862665623135546,0.00544622335963028,0.03515715433491984,200
test2,4,200.00000000000426,7104,5,15.722656250000336,0.5142516011541716,0.016353839738567095,0.04410596813610873,0.042815352695711094,0.015080266468384522,0.11917806863084394,200
test2,5,200.00000000000426,7104,5,4.492187500000096,0.19770413337728066,0.022005329628079464,0.021983045868530317,0.002144007687138017,0.01986418159743646,0.0249366428961779,200
test2,5,200.00000000000426,7104,5,8.691406250000185,0.2311313587263406,0.01329654558066111,0.013115533501500305,0.0009215263491412313,0.011286808083088568,0.014968020963596429,200
test2,5,200.00000000000426,7104,5,10.74218750000023,0.2267276132514695,0.010553139816795447,0.011241981526036213,0.0017158055995378338,0.009484166162446501,0.014817377078491956,200
test2,5,200.00000000000426,7104,5,12.69531250000027,0.28418702982219735,0.011192596866843227,0.014126952692147213,0.006307063875951523,0.007318758306815427,0.025447845987951898,200
test2,5,200.00000000000426,7104,5,15.03906250000032,0.5106434775289426,0.016977237694468378,0.0161878203312265,0.006169293437969907,0.00864412865307356,0.024044376158519003,200
test2,5,200.00000000000426,7104,5,15.722656250000336,0.3467204680191358,0.011026141591664207,0.012506870570345248,0.006391748491647738,0.004489232502573238,0.031942122526926346,200
test2,5,200.00000000000426,7104,5,17.675781250000377,0.22410712972002145,0.0063393840009198085,0.007184962575292128,0.0026080228625757276,0.00572118640614596,0.018236665291773386,200
test2,5,200.00000000000426,7104,5,17.968750000000384,0.19959410232027253,0.005553922847172682,0.005645240431619163,0.0006098877494906354,0.004752963118350247,0.007058043678361536,200
test3,1,200.00000000000426,13920,12,2.734375000000058,0.18850127894940316,0.03446880529360442,0.03451205061190124,0.0012654307611354644,0.03239016325177376,0.03707229379489414,200
test3,1,200.00000000000426,13920,12,4.492187500000096,0.17425154221400252,0.019394954263818997,0.01951908314561568,0.0012555176485869676,0.01792837521327604,0.02222762130562814,200
test3,1,200.00000000000426,13920,12,6.835937500000146,0.17952148225534703,0.013130714130676532,0.013088410989363593,0.0004321283363653824,0.012073484598394824,0.013834373241114577,200
test3,1,200.00000000000426,13920,12,8.789062500000187,0.21184688326873236,0.012051733803732074,0.012203479941234526,0.0008253041032651822,0.011330348382176801,0.013815999903937932,200
test3,1,200.00000000000426,13920,12,10.74218750000023,0.24177219966920482,0.011253396930057294,0.011527768698813714,0.001173532783648415,0.010002502246847232,0.014217074965945735,200
test3,1,200.00000000000426,13920,12,11.523437500000245,0.17018825453688002,0.007384439518888197,0.0082181468261299,0.0022575140837500143,0.0063583920017252545,0.01625456160425,200
test3,1,200.00000000000426,13920,12,15.03906250000032,0.23966590973666868,0.00796811336267349,0.008112284576808704,0.0008317304383604816,0.0067037265134084634,0.01038553763827252,200
test3,1,200.00000000000426,13920,12,17.968750000000384,0.21531640392069207,0.005991412978662608,0.0065385243200745125,0.0015672392841198047,0.005460062681793925,0.01123109274474079,200
test3,2,200.00000000000426,13920,12,2.734375000000058,0.18838311253256101,0.03444719772023899,0.03455541867923574,0.0013028334411131796,0.032478291064472566,0.03722668609947305,200
test3,2,200.00000000000426,13920,12,4.492187500000096,0.17923201148830525,0.019949302148263116,0.020454228900570904,0.0017785400930411428,0.018306735549584383,0.025117266108979887,200
test3,2,200.00000000000426,13920,12,8.789062500000187,0.2155165616528425,0.012260497729583668,0.012390498719675277,0.0018003103587364885,0.011386925760906927,0.01321805759236654,200
test3,2,200.00000000000426,13920,12,10.74218750000023,0.22527795732050038,0.010485664922553976,0.010716842805105454,0.0009219193735035316,0.00978592582279302,0.013177833838525195,200
test3,2,200.00000000000426,13920,12,15.03906250000032,0.6332560713973425,0.021053708347755357,0.020381606896861585,0.00446445348605514,0.008933436365088197,0.026759787681210675,200
test3,2,200.00000000000426,13920,12,15.332031250000327,0.6210378589684513,0.020252954381645878,0.0187448404346512,0.003915935490507975,0.009240030487129746,0.02411433579537831,200
test3,2,200.00000000000426,13920,12,16.601562500000355,0.23895077645365603,0.007196635149662898,0.007553994505733097,0.0019996133536939148,0.004809245832055247,0.012120141218927691,200
test3,2,200.00000000000426,13920,12,17.968750000000384,0.21610898323958594,0.006013467359710089,0.006617876318752448,0.0016366913326885967,0.0055508549069834415,0.011336688793867606,200
test3,3,200.00000000000426,13920,12,2.734375000000058,0.18844941090541,0.03445932085127424,0.03447665420301683,0.0012196171917888158,0.032290707098234506,0.036769703140879184,200
test3,3,200.00000000000426,13920,12,4.492187500000096,0.33575359119884407,0.03737083449865315,0.03644948328630147,0.006635643309320372,0.020917160199772574,0.04637790244281056,200
test3,3,200.00000000000426,13920,12,6.835937500000146,0.17904549519479485,0.013095899077104716,0.013021680133481164,0.00044361744511610304,0.012116363777919388,0.01381137471532213,200
test3,3,200.00000000000426,13920,12,10.74218750000023,0.23488391917959284,0.010932778783631724,0.011312412403053265,0.0015143575582907173,0.009845650927784519,0.015217984003628207,200
test3,3,200.00000000000426,13920,12,11.523437500000245,0.17461396523832384,0.007576470356103382,0.007833826114676073,0.0009835441431197947,0.006769279174349592,0.01053668708550312,200
test3,3,200.00000000000426,13920,12,12.792968750000274,0.2604914360587802,0.010181039332984169,0.011284999805219756,0.002976141814619417,0.009020223962190465,0.02098544285691399,200
test3,3,200.00000000000426,13920,12,15.03906250000032,0.28780149673539945,0.009568465346007882,0.011134175706076534,0.0035872941499657386,0.007889281118999872,0.01922500576808792,200
test3,3,200.00000000000426,13920,12,17.87109375000038,0.3275545824879025,0.009164368646655874,0.009870473905671627,0.002175761750025028,0.006528513207123681,0.014899136729813443,200
test3,4,200.00000000000426,13920,12,2.734375000000058,0.18892895042316216,0.03454700807737749,0.03447470643603538,0.0012929804640542959,0.03232221842135182,0.03690036842887339,200
test3,4,200.00000000000426,13920,12,4.492187500000096,0.17321471265927446,0.01927955062642318,0.019896685416090628,0.002876387821844866,0.017899082530227102,0.025321709834888077,200
test3,4,200.00000000000426,13920,12,6.835937500000146,0.18026784211071956,0.013185305022955207,0.013160395471440978,0.000528016973608616,0.011959042819255066,0.013945653536383251,200
test3,4,200.00000000000426,13920,12,10.74218750000023,0.23510090380412052,0.01094287843160974,0.011227336431007031,0.0011082037313882192,0.01018345899932278,0.013793352042711905,200
test3,4,200.00000000000426,13920,12,11.523437500000245,0.17181138820778585,0.007454867013761397,0.007748716081197805,0.001106983078661604,0.006396358672040487,0.010930005598667273,200
test3,4,200.00000000000426,13920,12,12.792968750000274,0.25555324501588217,0.009988035225048006,0.011261448815764392,0.003177865622367929,0.008781308071320864,0.021145390230485957,200
test3,4,200.00000000000426,13920,12,15.52734375000033,0.430142136752961,0.013851117862736562,0.01533787016690073,0.0046229657766990425,0.010237884855542688,0.024911694432564736,200
test3,4,200.00000000000426,13920,12,17.968750000000384,0.24916646940200593,0.0069333278442295825,0.007845227213405838,0.003171430698681205,0.005742160352254674,0.017734963153517202,200
test3,5,200.00000000000426,13920,12,4.492187500000096,0.17321481630752444,0.01927956216292405,0.019941176291919525,0.0021149153188669365,0.0179630231229657,0.025230501062778726,200
test3,5,200.00000000000426,13920,12,6.835937500000146,0.17979534956421972,0.013150745568125505,0.013030855739134877,0.000564979094728625,0.011692161227433015,0.013913077135477578,200
test3,5,200.00000000000426,13920,12,10.74218750000023,0.23128349264613668,0.010765195294074496,0.010942421868735931,0.0008244328861382006,0.009950291645837075,0.013355433176871916,200
test3,5,200.00000000000426,13920,12,12.402343750000265,0.763133445483172,0.030765694810029585,0.03060999013554389,0.009679941553399376,0.006539119729917261,0.049659556550214944,200
test3,5,200.00000000000426,13920,12,12.792968750000274,0.2539262509432483,0.009924445838392392,0.010765972608752075,0.002732334215985257,0.008190280840153441,0.018981751863576226,200
test3,5,200.00000000000426,13920,12,15.03906250000032,0.703696824994644,0.023395634701120136,0.021590132871327192,0.0053327292274275824,0.008077675807237715,0.028188699259638805,200
